Country,Start Month,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,mean_deaths_per_month,CountryMonthlyMean,GlobalMonthlyMean
Azerbaijan,6.0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6.0,14.642857142857142,237.06111696522655
Azerbaijan,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14.642857142857142,5728.0
Azerbaijan,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,14.642857142857142,365.75765765765766
Azerbaijan,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,14.642857142857142,511.2567567567568
Azerbaijan,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0,14.642857142857142,581.2519280205655
Azerbaijan,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0,14.642857142857142,1039.5979899497488
Azores Islands,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69.0,35.666666666666664,434.68226600985224
Azores Islands,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,35.666666666666664,185.49571428571429
Azores Islands,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,35.666666666666664,5728.0
Azores Islands,10.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,28.0,35.666666666666664,511.2567567567568
Azores Islands,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35.666666666666664,1039.5979899497488
Bahamas (the),5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,26.01111111111111,1085.6772366930918
Bahamas (the),6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,26.01111111111111,237.06111696522655
Bahamas (the),7.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,26.01111111111111,5728.0
